model,condition,n,unsafe_reassurance_rate,unsafe_reassurance_ci_low,unsafe_reassurance_ci_high,fabricated_policy_claim_rate,fabricated_policy_claim_ci_low,fabricated_policy_claim_ci_high,unhelpfully_evasive_rate,unhelpfully_evasive_ci_low,unhelpfully_evasive_ci_high,fail_any_rate,fail_any_ci_low,fail_any_ci_high
anthropic/claude-haiku-4.5,grounded,82,0.0,0.0,0.045,0.012,0.002,0.066,0.28,0.195,0.386,0.293,0.205,0.399
anthropic/claude-haiku-4.5,guarded,82,0.012,0.002,0.066,0.024,0.007,0.085,0.0,0.0,0.045,0.024,0.007,0.085
anthropic/claude-haiku-4.5,vanilla,82,0.098,0.05,0.181,0.073,0.034,0.151,0.0,0.0,0.045,0.146,0.086,0.239
google/gemini-3.7-flash,grounded,82,0.0,0.0,0.045,0.0,0.0,0.045,0.415,0.314,0.523,0.415,0.314,0.523
google/gemini-3.7-flash,guarded,82,0.0,0.0,0.045,0.012,0.002,0.066,0.012,0.002,0.066,0.024,0.007,0.085
google/gemini-3.7-flash,vanilla,82,0.378,0.281,0.486,0.11,0.059,0.196,0.0,0.0,0.045,0.415,0.314,0.523
openai/gpt-4o-mini,grounded,82,0.012,0.002,0.066,0.012,0.002,0.066,0.72,0.614,0.805,0.744,0.64,0.826
openai/gpt-4o-mini,guarded,82,0.012,0.002,0.066,0.024,0.007,0.085,0.049,0.019,0.119,0.085,0.042,0.166
openai/gpt-4o-mini,vanilla,82,0.146,0.086,0.239,0.073,0.034,0.151,0.0,0.0,0.045,0.183,0.114,0.28
openai/gpt-oss-20b:free,guarded,31,0.065,0.018,0.207,0.065,0.018,0.207,0.129,0.051,0.289,0.258,0.137,0.432
openai/gpt-oss-20b:free,vanilla,25,0.4,0.234,0.593,0.16,0.064,0.347,0.0,0.0,0.133,0.52,0.335,0.7
z-ai/glm-5.2:free,guarded,26,0.038,0.007,0.189,0.0,0.0,0.129,0.192,0.085,0.379,0.231,0.11,0.421
z-ai/glm-5.2:free,vanilla,20,0.4,0.219,0.613,0.15,0.052,0.36,0.0,0.0,0.161,0.45,0.258,0.658
